GameId|RentalDate|ReturnDate|CustomerId
mon01|2024-08-05|2024-08-20|abcd
mon01|2024-09-02|2024-09-18|coab
mon01|2024-10-10|2024-10-25|efgh
mon01|2024-11-03|2024-11-20|mnop
mon01|2024-12-01|2024-12-18|qrst
che03|2024-08-12|2024-08-28|wxyz
che03|2024-09-15|2024-09-30|lmno
che03|2024-10-05|2024-10-22|pqrs
spl18|2024-08-20|2024-09-05|plok
spl18|2024-09-25|2024-10-10|tyui
spl18|2024-11-01|2024-11-18|mnbv
spl18|2024-12-08|2024-12-22|cxza
gta11|2024-09-01|2024-09-16|qwer
gta11|2024-10-01|2024-10-18|asdf
gta11|2024-11-10|2024-11-28|hjkl
gta11|2024-12-15|2025-01-03|bnmv
gta11|2025-01-12|2025-01-28|yuio
mon01|2025-01-05|2025-01-20|coab
che03|2025-01-15|2025-02-01|mnop
chk04|2025-01-20|2025-02-05|qrst
scr05|2025-01-22|2025-02-10|abcd
clu06|2025-01-25|2025-02-12|wxyz
kab09|2025-02-10|2025-02-25|ijkl
uno10|2025-02-12|2025-03-01|zxcv
cnd11|2025-02-15|2025-03-02|qwer
tic12|2025-02-18|2025-03-05|asdf
dom13|2025-02-20|2025-03-08|hjkl
jga14|2025-02-22|2025-03-10|bnmv
con15|2025-02-25|2025-03-12|yuio
tra16|2025-03-01|2025-03-15|ghjk
dix17|2025-03-05|2025-03-18|tyui
spl18|2025-03-10|2025-03-25|plok
azl19|2025-03-12|2025-03-28|mnbv
pan20|2025-03-15|2025-03-30|cxza
blk21|2025-03-18|2025-04-02|sdfg
sry22|2025-03-20|2025-04-05|wert
opr23|2025-03-22|2025-04-07|rtyu
gue24|2025-03-25|2025-04-10|fghj
tra25|2025-03-28|2025-04-15|vbnm
nba02|2025-04-05|2025-04-18|efgh
min03|2025-04-07|2025-04-25|mnop
for04|2025-04-10|2025-04-28|qrst
zel05|2025-04-12|2025-05-01|abcd
mar06|2025-04-15|2025-05-03|wxyz
spi07|2025-04-18|2025-05-05|lmno
rob08|2025-04-20|2025-05-08|pqrs
roc09|2025-04-22|2025-05-10|ijkl
ove10|2025-04-25|2025-05-12|zxcv
gta11|2025-05-01|2025-05-18|qwer
nfs12|2025-05-03|2025-05-20|asdf
hal13|2025-05-05|2025-05-22|hjkl
gdw14|2025-05-07|2025-05-25|bnmv
eld15|2025-05-10|2025-05-28|yuio
f1g16|2025-05-12||ghjk
sma17|2025-05-15||tyui
spl18|2025-05-18||plok
hug19|2025-05-20||mnbv
res20|2025-05-22||cxza
dea21|2025-05-25||sdfg
cyb22|2025-05-28||wert
ark23|2025-06-01||rtyu
gng24|2025-06-05||fghj
dls25|2025-06-08||vbnm
mon01|2025-02-10|2025-02-25|lbro
mon01|2025-03-02|2025-03-18|abcd
mon01|2025-04-05|2025-04-22|coab
mon01|2025-05-02|2025-05-18|efgh
che03|2025-02-08|2025-02-22|mnop
che03|2025-03-12|2025-03-28|qrst
che03|2025-04-02|2025-04-20|wxyz
kab09|2024-04-13|2025-02-22|joel
kab09|2025-12-16|2025-03-21|ittl
spl18|2025-01-08|2025-01-25|plok
spl18|2025-02-14|2025-03-01|tyui
spl18|2025-04-10|2025-04-28|mnbv
gta11|2025-02-05|2025-02-22|qwer
gta11|2025-03-06|2025-03-24|asdf
gta11|2025-04-01|2025-04-19|hjkl
gta11|2025-06-01|2025-06-15|bnmv
